Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
06/01/2022,34,0,34,16,1,0,1,6,0,6,0,0,0,2,0,2,0.2647058824,0,0.2647058824
06/02/2022,100,0,100,24,4,0,4,5,0,5,0,0,0,3,0,3,0.12,0,0.12
06/03/2022,60,0,60,18,1,0,1,3,0,3,0,0,0,1,0,1,0.08333333333,0,0.08333333333
06/04/2022,29,0,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/05/2022,12,0,12,4,3,0,3,0,0,0,0,0,0,0,0,0,0.25,0,0.25
06/06/2022,68,0,68,21,3,0,3,4,0,4,0,0,0,2,0,2,0.1323529412,0,0.1323529412
06/07/2022,35,0,35,14,2,0,2,2,0,2,0,0,0,1,0,1,0.1428571429,0,0.1428571429
06/08/2022,32,0,32,11,3,0,3,7,0,7,0,0,0,0,0,0,0.3125,0,0.3125
06/09/2022,48,0,48,13,6,0,6,2,0,2,0,0,0,1,0,1,0.1875,0,0.1875
06/10/2022,14,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/11/2022,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/12/2022,10,0,10,5,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0,0.1
06/13/2022,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/14/2022,29,0,29,10,2,0,2,2,0,2,0,0,0,1,0,1,0.1724137931,0,0.1724137931
06/15/2022,43,0,43,14,2,0,2,2,0,2,0,0,0,2,0,2,0.1395348837,0,0.1395348837
06/16/2022,67,0,67,12,8,0,8,2,0,2,0,0,0,1,0,1,0.1641791045,0,0.1641791045
06/17/2022,20,0,20,9,0,0,0,0,0,0,0,0,0,1,0,1,0.05,0,0.05
06/18/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/19/2022,28,0,28,3,3,0,3,0,0,0,0,0,0,0,0,0,0.1071428571,0,0.1071428571
06/20/2022,62,0,62,12,7,0,7,2,0,2,0,0,0,0,0,0,0.1451612903,0,0.1451612903
06/21/2022,137,0,137,46,9,0,9,7,0,7,1,0,1,3,0,3,0.1459854015,0,0.1459854015
06/22/2022,192,0,192,41,12,0,12,5,0,5,1,0,1,3,0,3,0.109375,0,0.109375
06/23/2022,299,0,299,13,3,0,3,1,0,1,0,0,0,0,0,0,0.01337792642,0,0.01337792642
06/24/2022,94,0,94,26,6,0,6,3,0,3,0,0,0,1,0,1,0.1063829787,0,0.1063829787
06/25/2022,12,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/26/2022,16,0,16,5,1,0,1,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625
06/27/2022,130,0,130,20,6,0,6,4,0,4,0,0,0,5,0,5,0.1153846154,0,0.1153846154
06/28/2022,161,0,161,33,16,0,16,6,0,6,2,0,2,5,0,5,0.1801242236,0,0.1801242236
06/29/2022,96,0,96,28,6,0,6,3,0,3,0,0,0,2,0,2,0.1145833333,0,0.1145833333
06/30/2022,172,0,172,40,13,0,13,9,0,9,0,0,0,4,0,4,0.1511627907,0,0.1511627907
07/01/2022,46,0,46,17,2,0,2,2,0,2,0,0,0,2,0,2,0.1304347826,0,0.1304347826
07/02/2022,44,0,44,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/03/2022,27,0,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/04/2022,173,0,173,53,4,0,4,6,0,6,0,0,0,2,0,2,0.06936416185,0,0.06936416185
07/05/2022,115,0,115,31,9,0,9,5,0,5,0,0,0,5,0,5,0.1652173913,0,0.1652173913
07/06/2022,225,0,225,29,20,0,20,8,0,8,0,0,0,3,0,3,0.1377777778,0,0.1377777778
07/07/2022,138,0,138,26,14,0,14,4,0,4,0,0,0,4,0,4,0.1594202899,0,0.1594202899
07/08/2022,159,0,159,20,14,0,14,2,0,2,0,0,0,0,0,0,0.1006289308,0,0.1006289308
07/09/2022,30,0,30,10,3,0,3,1,0,1,0,0,0,1,0,1,0.1666666667,0,0.1666666667
07/10/2022,181,0,181,16,5,0,5,2,0,2,0,0,0,0,0,0,0.03867403315,0,0.03867403315
07/11/2022,56,0,56,18,7,0,7,1,0,1,0,0,0,0,0,0,0.1428571429,0,0.1428571429
07/12/2022,53,0,53,14,6,0,6,4,0,4,0,0,0,3,0,3,0.2452830189,0,0.2452830189
07/13/2022,65,0,65,15,5,0,5,4,0,4,0,0,0,0,0,0,0.1384615385,0,0.1384615385
07/14/2022,40,0,40,11,2,0,2,3,0,3,0,0,0,1,0,1,0.15,0,0.15
07/15/2022,15,0,15,6,2,0,2,0,0,0,0,0,0,0,0,0,0.1333333333,0,0.1333333333
07/16/2022,55,0,55,23,4,0,4,5,0,5,0,0,0,0,0,0,0.1636363636,0,0.1636363636
07/17/2022,29,0,29,18,2,0,2,2,0,2,0,0,0,0,0,0,0.1379310345,0,0.1379310345
07/18/2022,92,0,92,19,7,0,7,5,0,5,0,0,0,0,0,0,0.1304347826,0,0.1304347826
07/19/2022,199,0,199,22,8,0,8,2,0,2,0,0,0,0,0,0,0.05025125628,0,0.05025125628
07/20/2022,63,0,63,16,12,0,12,2,0,2,0,0,0,1,0,1,0.2380952381,0,0.2380952381
07/21/2022,17,0,17,11,2,0,2,4,0,4,0,0,0,1,0,1,0.4117647059,0,0.4117647059
07/22/2022,115,0,115,32,7,0,7,21,0,21,0,0,0,0,0,0,0.2434782609,0,0.2434782609
07/23/2022,139,0,139,44,7,0,7,2,0,2,0,0,0,0,0,0,0.06474820144,0,0.06474820144
07/24/2022,60,0,60,21,2,0,2,2,0,2,0,0,0,0,0,0,0.06666666667,0,0.06666666667
07/25/2022,139,0,139,26,8,0,8,6,0,6,0,0,0,1,0,1,0.1079136691,0,0.1079136691
07/26/2022,77,0,77,38,4,0,4,2,0,2,0,0,0,0,0,0,0.07792207792,0,0.07792207792
07/27/2022,49,0,49,22,3,0,3,6,0,6,0,0,0,2,0,2,0.2244897959,0,0.2244897959
07/28/2022,29,0,29,18,1,0,1,4,0,4,0,0,0,1,0,1,0.2068965517,0,0.2068965517
07/29/2022,34,0,34,13,1,0,1,0,0,0,0,0,0,0,0,0,0.02941176471,0,0.02941176471
07/30/2022,15,0,15,6,2,0,2,0,0,0,0,0,0,0,0,0,0.1333333333,0,0.1333333333
07/31/2022,12,0,12,7,1,0,1,1,0,1,0,0,0,0,0,0,0.1666666667,0,0.1666666667
08/01/2022,59,0,59,17,6,0,6,5,0,5,0,0,0,1,0,1,0.2033898305,0,0.2033898305
08/02/2022,98,0,98,25,4,0,4,4,0,4,0,0,0,2,0,2,0.1020408163,0,0.1020408163
08/03/2022,90,0,90,33,6,0,6,3,0,3,0,0,0,1,0,1,0.1111111111,0,0.1111111111
08/04/2022,70,0,70,19,6,0,6,3,0,3,0,0,0,0,0,0,0.1285714286,0,0.1285714286
08/05/2022,16,0,16,9,0,0,0,1,0,1,0,0,0,0,0,0,0.0625,0,0.0625
08/06/2022,16,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/07/2022,35,0,35,12,2,0,2,2,0,2,0,0,0,0,0,0,0.1142857143,0,0.1142857143
08/08/2022,48,0,48,20,3,0,3,2,0,2,0,0,0,0,0,0,0.1041666667,0,0.1041666667
